iter	RMSE
0	0.7615793944
1	0.7236884273
2	0.6900551497
3	0.6619341798
4	0.6367247072
5	0.6148221761
6	0.5949059494
7	0.578453394
8	0.5634432872
9	0.5500110042
10	0.538056477
11	0.5268401451
12	0.5172539289
13	0.5088637962
14	0.5014140149
15	0.4948106438
16	0.4894827378
17	0.4839058267
18	0.4790754194
19	0.4751143694
20	0.4705432486
21	0.4662981225
22	0.4633000511
23	0.4603259366
24	0.4572538254
25	0.4550485397
26	0.4527312362
27	0.4498364479
28	0.4482386619
29	0.4462125739
30	0.444516376
31	0.4431721089
32	0.4413778017
33	0.4398240912
34	0.4381921527
35	0.4370745228
36	0.4353906278
37	0.4343156242
38	0.4325585222
39	0.4309972035
40	0.4294884099
41	0.4278384116
42	0.4264512098
43	0.425445971
44	0.4240506341
45	0.4229404542
46	0.421852065
47	0.4211076452
48	0.4204308312
49	0.4194686454
50	0.4186224347
51	0.4178106289
52	0.4170837591
53	0.4162572862
54	0.4155848606
55	0.4148527316
56	0.4141844155
57	0.4134138921
58	0.4127849448
59	0.4120746305
60	0.411491032
61	0.4106650377
62	0.4098509199
63	0.4092359433
64	0.408543593
65	0.4079416955
66	0.4069705726
67	0.4064251709
68	0.405783354
69	0.4053474116
70	0.4049743155
71	0.4043720259
72	0.4037725123
73	0.4032809687
74	0.4024896208
75	0.4019420207
76	0.4016545153
77	0.4011503675
78	0.4004063705
79	0.3999345616
80	0.3993358898
81	0.3988636702
82	0.3981963629
83	0.3976993751
84	0.3972603298
85	0.3964382625
86	0.396093128
87	0.3956190822
88	0.395198724
89	0.3946211681
90	0.3939652274
91	0.3935086488
92	0.3931235599
93	0.3925633586
94	0.3921894891
95	0.3919635438
96	0.3913239276
97	0.3909164231
98	0.3905825193
99	0.3902129954
100	0.3897370487
101	0.3894143061
102	0.3888605887
103	0.3886867444
104	0.3882793195
105	0.3879157543
106	0.3876783796
107	0.3872910704
108	0.386960476
109	0.3866653304
110	0.3864833413
111	0.3861747287
112	0.3859227588
113	0.3857071141
114	0.3854037513
115	0.3849993986
116	0.3847134141
117	0.3844921107
118	0.38424947
119	0.3839436361
120	0.3835834195
121	0.3831874559
122	0.3829441302
123	0.3827134989
124	0.3824803115
125	0.3821246328
126	0.381834328
127	0.3814042166
128	0.3811064922
129	0.3808219929
130	0.3805263743
131	0.3802905716
132	0.3800965614
133	0.3797957189
134	0.3794526264
135	0.3791006365
136	0.3788451105
137	0.3784310323
138	0.3782836143
139	0.3778620207
140	0.3774499076
141	0.3772710733
142	0.3769367611
143	0.3766314087
144	0.3763396957
145	0.3760557516
146	0.3756560956
147	0.37547008
148	0.3752702166
149	0.3748999871
150	0.3746554566
151	0.3744374717
152	0.374192182
153	0.3739482066
154	0.3737311865
155	0.3734260063
156	0.373225336
157	0.372991235
158	0.3727231404
159	0.3725116033
160	0.3723491935
161	0.3721668598
162	0.3718774966
163	0.3716643122
164	0.3714404048
165	0.3712458544
166	0.3710250869
167	0.3708444691
168	0.37061603
169	0.3702456315
170	0.3700825906
171	0.3698094744
172	0.3697122406
173	0.3695194612
174	0.3693110861
175	0.3691025298
176	0.3688616758
177	0.3685815676
178	0.3684008972
179	0.3682200417
180	0.3678780748
181	0.3676488219
182	0.3674040769
183	0.3672504716
184	0.3670861663
185	0.3668710927
186	0.3666947744
187	0.3664801762
188	0.366313547
189	0.3661747682
190	0.3659178578
191	0.3657953934
192	0.3656564996
193	0.365422808
194	0.3652809337
195	0.3651443556
196	0.3649864055
197	0.3648150226
198	0.3646889769
199	0.3645269026
200	0.3644526774
201	0.3642814163
202	0.3641059823
203	0.3639186387
204	0.3637514616
205	0.3635797057
206	0.3634172273
207	0.3632082126
208	0.3630688909
209	0.362736386
210	0.3626009783
211	0.3624452683
212	0.3623411122
213	0.3621742194
214	0.3620125248
215	0.3618766128
216	0.3616607145
217	0.3614926747
218	0.3613897296
219	0.3613106144
220	0.361194329
221	0.3610874552
222	0.3610063507
223	0.3609012119
224	0.3608007039
225	0.3607210365
226	0.3606016733
227	0.360482414
228	0.3603933461
229	0.3602560274
230	0.3601464213
231	0.3600215801
232	0.3599186019
233	0.3597875956
234	0.3596979455
235	0.3595355303
236	0.3593331677
237	0.3591035508
238	0.3590328666
239	0.3589234722
240	0.3588677949
241	0.3586629762
242	0.3585485088
243	0.3583675844
244	0.3582029372
245	0.3579824069
246	0.3578733198
247	0.3578111916
248	0.3575946094
249	0.3574824714
250	0.3573379247
251	0.3572068788
252	0.3571396545
253	0.3570662997
254	0.3568956569
255	0.3567915445
256	0.3566073216
257	0.3564858412
258	0.3563498268
259	0.356266799
260	0.3561599238
261	0.3560666813
262	0.3559311406
263	0.3557639078
264	0.3556109716
265	0.3554304428
266	0.3552762604
267	0.3550982587
268	0.3550302034
269	0.3549415744
270	0.3548260833
271	0.3546653589
272	0.3545333342
273	0.3544269302
274	0.3543280136
275	0.3542345769
276	0.3541616679
277	0.3540917933
278	0.3539854737
279	0.3538275302
280	0.3537443012
281	0.353660068
282	0.3535703478
283	0.3534088858
284	0.3532741756
285	0.3531216298
286	0.3530310026
287	0.3529292333
288	0.3527490542
289	0.3526528337
290	0.3525774189
291	0.3524602408
292	0.3523005834
293	0.3522072405
294	0.3521269362
295	0.3520186095
296	0.3519098213
297	0.3518123423
298	0.3517499632
299	0.351601335
300	0.3515098947
301	0.3513853556
302	0.351308386
303	0.3512528625
304	0.3511591014
305	0.3510720393
306	0.3509093581
307	0.3508465668
308	0.3507266476
309	0.3505907781
310	0.3504693399
311	0.3503687438
312	0.3502799313
313	0.3502075148
314	0.3500301162
315	0.3500089927
316	0.3498686941
317	0.3497599592
318	0.3496889213
319	0.3495728875
320	0.3494910219
321	0.3494321849
322	0.3493218556
323	0.3492192089
324	0.3491228864
325	0.3490628988
326	0.3489896108
327	0.3489091437
328	0.3488062958
329	0.3486217381
330	0.3485261663
331	0.3483138545
332	0.3482581542
333	0.3481867292
334	0.3480445456
335	0.3479121761
336	0.347842992
337	0.3477983824
338	0.3477054544
339	0.3476390571
340	0.347561528
341	0.3474774573
342	0.347354578
343	0.3472116166
344	0.3471207807
345	0.3469810738
346	0.3468920076
347	0.3468401336
348	0.3467340059
349	0.3466513117
350	0.3465392196
351	0.3464534387
352	0.3463862874
353	0.3462861903
354	0.3462232054
355	0.3461177358
356	0.3460379669
357	0.3459688122
358	0.3458288581
359	0.3456652659
360	0.3455714389
361	0.3454349664
362	0.3453127346
363	0.3451598899
364	0.3450945794
365	0.3450406662
366	0.3449747575
367	0.3448408416
368	0.3447521212
369	0.3446888738
370	0.3445891387
371	0.3445276346
372	0.3444069494
373	0.3443604085
374	0.3442462817
375	0.3441920481
376	0.3441005917
377	0.3440222433
378	0.3439563035
379	0.3438758436
380	0.3437915548
381	0.3437025313
382	0.3436123851
383	0.3434927415
384	0.3434517171
385	0.3434153298
386	0.3433281066
387	0.3432294289
388	0.3431653025
389	0.3431146762
390	0.3430817771
391	0.3430262367
392	0.342921497
393	0.3428843506
394	0.3428188464
395	0.3427609673
396	0.3427214677
397	0.3426655451
398	0.3425152448
399	0.3424331323
400	0.342380932
401	0.3422914478
402	0.3422065844
403	0.3421057369
404	0.3420585406
405	0.3419834676
406	0.3418368272
407	0.3417160187
408	0.3416336321
409	0.3415632319
410	0.3415068308
411	0.3414342765
412	0.3413585378
413	0.3412934668
414	0.3412205189
415	0.3411678651
416	0.3411107718
417	0.3410373474
418	0.3409697635
419	0.3408908717
420	0.3408252227
421	0.3407534732
422	0.340651668
423	0.3405537188
424	0.3404651851
425	0.3404065609
426	0.3402785046
427	0.3401655573
428	0.3400730487
429	0.3400359345
430	0.339924666
431	0.3398342852
