iter	Passed	Remaining
0	117	58781
1	229	57207
2	339	56277
3	451	55952
4	558	55253
5	650	53588
6	763	53745
7	885	54456
8	1019	55597
9	1137	55751
10	1264	56223
11	1372	55821
12	1473	55196
13	1591	55241
14	1681	54383
15	1823	55165
16	1902	54048
17	2004	53687
18	2117	53618
19	2241	53804
20	2354	53713
21	2469	53653
22	2572	53358
23	2691	53374
24	2819	53577
25	2935	53523
26	3051	53453
27	3168	53407
28	3283	53330
29	3418	53548
30	3555	53789
31	3683	53872
32	3809	53917
33	3928	53846
34	4056	53895
35	4163	53666
36	4293	53724
37	4428	53836
38	4571	54041
39	4685	53880
40	4804	53788
41	4925	53707
42	5058	53764
43	5184	53734
44	5312	53714
45	5440	53693
46	5583	53816
47	5692	53607
48	5806	53444
49	5922	53299
50	6052	53287
51	6179	53242
52	6295	53099
53	6416	52997
54	6544	52951
55	6675	52927
56	6780	52699
57	6901	52590
58	7028	52535
59	7153	52458
60	7261	52262
61	7377	52116
62	7506	52066
63	7634	52011
64	7767	51980
65	7875	51789
66	7996	51677
67	8117	51572
68	8238	51462
69	8352	51305
70	8462	51132
71	8597	51105
72	8725	51040
73	8858	50996
74	8988	50937
75	9092	50729
76	9201	50548
77	9306	50349
78	9422	50215
79	9542	50097
80	9672	50035
81	9791	49913
82	9901	49746
83	10022	49633
84	10124	49432
85	10241	49303
86	10374	49250
87	10505	49186
88	10601	48958
89	10708	48785
90	10850	48767
91	10987	48725
92	11102	48588
93	11211	48424
94	11341	48351
95	11485	48335
96	11622	48287
97	11742	48169
98	11851	48005
99	11995	47983
100	12107	47832
101	12206	47629
102	12318	47479
103	12435	47348
104	12564	47267
105	12691	47174
106	12816	47072
107	12943	46979
108	13067	46876
109	13194	46779
110	13317	46671
111	13491	46738
112	13628	46674
113	13749	46554
114	13873	46445
115	13984	46292
116	14102	46164
117	14225	46052
118	14342	45920
119	14462	45797
120	14593	45709
121	14718	45603
122	14832	45463
123	14954	45346
124	15066	45199
125	15198	45113
126	15316	44984
127	15456	44919
128	15589	44834
129	15688	44652
130	15792	44485
131	15931	44414
132	16064	44327
133	16198	44243
134	16314	44108
135	16428	43971
136	16559	43877
137	16653	43684
138	16746	43492
139	16868	43376
